Schulnummer,Name1,Name2,Zusatz1,Zusatz2,Zusatz3,Strasse,PLZ,Ort,SchulleiterName,SchulleiterVorname,SchulleiterTitel,SchulleiterGeschlecht,Vorwahl,Telefon,Fax,EMail,Ganztagsschule,GanztagsForm,Schulart1,Schulart2,Schulart3,Schulart4,Schulart5,Schulart6,Schulart7,Schulart8,Schulart9,Schulart10,Schulart11,Planbezirk,Schulform,Internet
302,Altes Gymnasium,,,,,Kleine Helle 7,28195,Bremen,Köhler,Angela,Dr.,W,0421,361-16990,361-16995,302@bildung.bremen.de,J,teilgebundene Ganztagsschule,GY,GO,VBK I,,,,,,,,,Mitte/östl. Vorstadt,Durchgängiges Gymnasium,http://www.altes-gymnasium-bremen.de
305,Gymnasium Vegesack,,,,,Kerschensteinerstr. 2,28757,Bremen,Ohler,Heike,,W,0421,361-7305,361-79508,305@bildung.bremen.de,N,,GY,GO,VBK I,,,,,,,,,Vegesack,Durchgängiges Gymnasium,http://www.gymnasium-vegesack-bremen.de
306,Gymnasium an der Hamburger Straße,,,,,Hamburger Str. 12,28205,Bremen,Dreyer,Claudia,,W,0421,361-96930,361-96944,306@bildung.bremen.de,N,,GY,GO,VBK I,,,,,,,,,Mitte/östl. Vorstadt,Durchgängiges Gymnasium,http://www.habu.schule.bremen.de
307,Alexander-von-Humboldt-Gymnasium,,Gymnasium,,,Delfter Str. 16,28259,Bremen,Mascher,Peggy,,W,0421,361-16470,361-16709,307@bildung.bremen.de,N,,GY,VBK II,GO,VBK I,,,,,,,,Huchting,Durchgängiges Gymnasium,http://www.humboldtgymnasium-bremen.de
308,Hermann-Böse-Gymnasium,,,,,Hermann-Böse-Str. 1-9,28209,Bremen,Müller,Sibylle,,W,0421,361-6272,361-6285,308@bildung.bremen.de,N,,GY,GO,VBK I,,,,,,,,,Schwachhausen,Durchgängiges Gymnasium,http://www.hbg-bremen.de
309,Gymnasium Horn,,,,,Vorkampsweg 97,28359,Bremen,Kelm,Christel,,W,0421,361-14260,361-14265,309@bildung.bremen.de,N,,GY,GO,VBK I,,,,,,,,,Horn/Borgf./Oberneuland,Durchgängiges Gymnasium,http://www.gymnasium-horn.de
312,Kippenberg-Gymnasium,,,,,Schwachhauser Heerstr. 62,28209,Bremen,Pribbernow,Hermann,,M,0421,361-3640,361-59093,312@bildung.bremen.de,N,,GY,GO,VBK I,,,,,,,,,Schwachhausen,Durchgängiges Gymnasium,http://www.kippenberg-gymnasium.de
324,Gymnasium Links der Weser,,,,,Alfred-Faust-Str. 6,28277,Bremen,Sudmann,Uwe,,M,0421,361-16360,361-16618,324@bildung.bremen.de,J,teilgebundene Ganztagsschule,GY,GO,VBK I,,,,,,,,,Obervieland,Durchgängiges Gymnasium,http://www.gymnasium-ldw.de
331,Schulzentrum Carl von Ossietzky,,Gymnasium (Oberstufe),,,Schiffdorfer Chaussee 97,27574,Bremerhaven,Beck,Ingo,,M,0471,391-39130,391-39139,cvo.gyo@schule.bremerhaven.de,N,,VBK II,GO,,,,,,,,,,,Schulzentrum des Sekundarbereich  II (Gymnasiale Oberstufe),
333,Schulzentrum Geschwister Scholl,,Gymnasium (Oberstufe),,,Walter-Kolb-Weg 2,27568,Bremerhaven,grüninger,York,,M,0471,3000110,3000113,scholl.gyo@schule.bremerhaven.de,N,,GO,,,,,,,,,,,,Schulzentrum des Sekundarbereich  II (Gymnasiale Oberstufe),
334,Lloyd Gymnasium Bremerhaven,Haus Grazer Straße,Gymnasium,,,Grazer Str. 61,27568,Bremerhaven,Hierath,Lars,,M,0471,3000100,3000159,lloyd.gy@schule.bremerhaven.de,N,,GY,GO,VBK I,,,,,,,,,,Durchgängiges Gymnasium,
349,Abendschule Bremerhaven,,,,,Sonnenstr. 22,27568,Bremerhaven,Rahn,Axel,,M,0471,391-3601,391-3603,abend@schule.bremerhaven.de,N,,TZBBR,TZMSA,AGO,,,,,,,,,,Abendschule/Erwachsenen Schule,
351,Allgemeine Berufsbildende Schule,,,,,Steffensweg 171,28217,Bremen,Grönegreß,Frank,,M,0421,361-19639,361-59667,351@bildung.bremen.de,N,,BS,AVBG/TZ,AVBG/VZ,,,,,,,,,Findorff / Walle,Berufsbildende Schule,http://www.abs-bremen.de
352,Berufsbildende Schule für Metalltechnik,,,,,Reiherstr. 80,28239,Bremen,Fidan,Andrea,,W,0421,361-18042,361-59533,352@bildung.bremen.de,N,,WerkSch,BS,AVBG/VZ,BFSQ,BFS3,,,,,,,Gröpelingen,Berufsbildende Schule,http://www.bfm-bremen.de
355,Wilhelm Wagenfeld Schule,,"Berufsbildende Schule für Kunst, Design und Medien",,,Delfter Str. 16,28259,Bremen,Strauch,Hans-Jürgen,Dr. phil.,M,0421,361-16620,361-59040,355@bildung.bremen.de,N,,WerkSch,BS,AVBG/VZ,BGY,FOS,,,,,,,Huchting,Berufsbildende Schule,http://www.wilhelm-wagenfeld-schule.de
358,Schulzentrum des Sekundarbereichs II,Vegesack,Berufliche Schulen für Metall- und,Elektrotechnik,,Kerschensteinerstr. 5,28757,Bremen,Kaus,Peter,,M,0421,361-79550,361-79574,358@bildung.bremen.de,N,,WerkSch,BS,AVBG/VZ,BFS2,BFS3,FOS,,,,,,Vegesack,Berufsbildende Schule,http://sz-vegesack.de/
359,Berufsbildende Schule für Einzelhandel und Logistik,,,,,Carl-Goerdeler-Str. 27,28327,Bremen,Hagen,Robbin,,M,0421,361-14280,361-14297,359@bildung.bremen.de,N,,BS,AVBG/VZ,BFS3,,,,,,,,,Vahr,Berufsbildende Schule,http://www.bs-einzelhandel.de
360,"Berufsschule für den Großhandel,",Außenhandel und Verkehr,,,,Ellmersstr. 24,28217,Bremen,Ollmann,Katja,,W,0421,361-8647,361-16621,360@bildung.bremen.de,N,,BS,AVBG/VZ,,,,,,,,,,Findorff / Walle,Berufsbildende Schule,http://www.bs-gav.de
361,Schulzentrum Grenzstraße,,Berufsbildende Schule für Wirtschaft und Verwaltung,,,Grenzstr. 90,28217,Bremen,Hons,Peter,,M,0421,361-5637/8/9,361-59640,361@bildung.bremen.de,N,,BS,AVBG/TZ,AVBG/VZ,BFS3,BGY,,,,,,,Findorff / Walle,Berufsbildende Schule,http://www.sz-grenzstrasse.de
364,Schulzentrum des Sekundarbereichs II,Neustadt,Berufliche Schulen für Hauswirtschaft,und Sozialpädagogik,,Delmestr. 141 B,28199,Bremen,Mahlmann,Judith Nancy,,W,0421,361-18340,361-18351,364@bildung.bremen.de,N,,WerkSch,BS,AVBG/VZ,BFS2,BFS3,BGY,FOS,FS,,,,Neustadt,Berufsbildende Schule,http://www.szn-bremen.de
368,Schulzentrum des Sekundarbereichs II,Utbremen,Europaschule,,,Meta-Sattler-Str. 33,28217,Bremen,Weigelt,Tobias,,M,0421,361-59688 oder 89,361-16019,368@bildung.bremen.de,N,,BS,AVBG/VZ,BFS2,FOS,BFS3DQ,BFS4DQ,BOS,,,,,Findorff / Walle,Berufsbildende Schule,http://www.szut.de
369,Technisches Bildungszentrum Mitte,,"Berufsbildende Schule für Elektrotechnik,",Fahrzeugtechnik und Metalltechnik,,An der Weserbahn 4,28195,Bremen,Metag,Jörg,,M,0421,361-16770,361-3077,369@bildung.bremen.de,N,,WerkSch,BS,AVBG/VZ,BFSQ,BFS3,BGY,FOS,,,,,Mitte/östl. Vorstadt,Berufsbildende Schule,http://www.tbz-bremen.de
382,Kaufmännische Lehranstalten,Berufsbildende Schulen für Wirtschaft und Verwaltung,,,,Max-Eyth-Platz 3-4,27568,Bremerhaven,Reckemeyer,Peter,,M,0471,391-3530,391-3559,smidt.kla@schule.bremerhaven.de,N,,BS,AVBG/VZ,BFS2,BFS3,BGY,FOS,,,,,,,Berufsbildende Schule,
383,Schulzentrum Geschwister Scholl,,Berufsbildende Schulen Sophie Scholl,,,Walter-Kolb-Weg 2,27568,Bremerhaven,Müller,Ingrid,,W,0471,3000120,3000123,BS.SophieScholl@schule.bremerhaven.de,N,,BS,AVBG/VZ,BFS2,BFS3,BGY,FOS,FS,BFS3DQ,,,,,Berufsbildende Schule,
384,Werkstattschule Bremerhaven,,,,,Hinrich-Schmalfeldt-Str. 26,27576,Bremerhaven,Barjenbruch,Martin,,M,0471,958-4430,501-0557,werkstattschule@nord-com.net,N,,FÖZ sonst.,AVBG/TZ,AVBG/VZ,,,,,,,,,,Berufsbildende Schule,http://www.vbs-bremerhaven.de
385,Schulzentrum Carl von Ossietzky,Berufliche Schule für Technik,,,,Georg-Büchner-Str. 7,27574,Bremerhaven,Thölken,Arno,,M,0471,39198-101,39198-256,SZCvO.BS.Technik@schule.bremerhaven.de,N,,BS,AVBG/TZ,AVBG/VZ,BFS3,FOS,,,,,,,,Berufsbildende Schule,http://www.vbs-bremerhaven.de
386,Schulzentrum Carl von Ossietzky,"Berufliche Schule für Dienstleistungen, Gewerbe und Gestaltung",,,,Georg-Büchner-Str. 13,27574,Bremerhaven,Jentsch,Bodo,,M,0471,309-46510,309-44522,SZCvO.BS.Dienstleistung@schule.bremerhaven.de,N,,BS,AVBG/VZ,BFS3,BGY,FOS,,,,,,,,Berufsbildende Schule,http://www.vbs-bremerhaven.de
403,Oberschule an der Helsinkistraße,,,,,Helsinkistr. 10,28719,Bremen,Bugiel,Barbara,,W,0421,361-79070,361-79071,403@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Burglesum,Oberschule,http://www.oberschule-helsinkistrasse.de/
404,Wilhelm-Olbers-Oberschule,,,,,Drebberstr. 10,28309,Bremen,Braunschweiger,Anke,,W,0421,361-59539,361-59548,404@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK II,GO,VBK I,,,,,,,,Hemelingen,Oberschule,http://www.wilhelm-olbers-schule.de
409,Oberschule an der Koblenzer Straße,,,,,Koblenzer Str. 15,28325,Bremen,Schreyer,Marcus,,M,0421,361-3029,361-15463,409@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Osterholz,Oberschule,http://www.osk-bremen.org
410,Oberschule an der Lerchenstraße,,,,,Lerchenstr. 86,28755,Bremen,Addicks-Fitschen,Kirsten,,W,0421,361-79263,361-79262,410@bildung.bremen.de,N,,ObSch,GO,VBK I,,,,,,,,,Vegesack,Oberschule,http://www.oberschule-lerche.de
412,Oberschule Roter Sand,,,,,Butjadinger Str. 21,28197,Bremen,Steen,Holger Otto,,M,0421,361-96800,361-96812,412@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Woltmershausen,Oberschule,http://www.oberschule-roter-sand.de
414,Oberschule an der Lehmhorster Straße,,,,,Lehmhorster Str. 5,28779,Bremen,Stolze,Horst,,M,0421,361-79352,361-79362,414@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Blumenthal,Oberschule,http://www.os-lehmhorster.de
416,Oberschule Rockwinkel,,,,,Uppe Angst 31,28355,Bremen,Dahm,Michaela,Dr. phil.,W,0421,361-16627,361-16637,416@bildung.bremen.de,N,,ObSch,GO,VBK I,,,,,,,,,Horn/Borgf./Oberneuland,Oberschule,http://www.rockwinkel.schule.bremen.de
417,Oberschule an der Schaumburger Straße,,,,,Schaumburger Str. 49 A,28205,Bremen,Mc Callum,Annette,,W,0421,361-96880,361-96886,417@bildung.bremen.de,N,,ObSch,VBK I,,,,,,,,,,Mitte/östl. Vorstadt,Oberschule,http://www.die-schaumburger.de
418,Oberschule an der Ronzelenstraße,,,,,Ronzelenstr. 51,28359,Bremen,Koopmann,Jürgen,,M,0421,361-3144,361-15161,418@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,GO,VBK I,,,,,,,,,Horn/Borgf./Oberneuland,Oberschule,http://www.oberschule-ronzelen.de
423,Oberschule Habenhausen,,,,,Bunnsackerweg 2,28279,Bremen,Hennig-Naß,Ursula,,W,0421,361-3454,361-15226,423@bildung.bremen.de,N,,ObSch,VBK I,,,,,,,,,,Obervieland,Oberschule,http://oberschule-habenhausen.de
424,Oberschule an der Helgolander Straße,,,,,Helgolander Str. 67,28217,Bremen,Brücker-Götz,Ingrid,,W,0421,361-17030,361-17036,424@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Findorff / Walle,Oberschule,http://www.oshelgolander.de
425,Oberschule an der Julius-Brecht-Allee,,,,,Konrad-Adenauer-Allee 86,28329,Bremen,Borges,Jörn Peter,,M,0421,361-16027,361-16037,425@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Vahr,Oberschule,http://www.jba-bremen.de/
428,Oberschule Findorff,,,,,Gothaer Str. 60,28215,Bremen,Lütjen,Uwe,,M,0421,361-96910,361-96923,428@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,GO,VBK I,,,,,,,,,Findorff / Walle,Oberschule,http://www.Oberschule-findorff.de
429,Oberschule Sebaldsbrück,,,,,Parsevalstr. 1,28309,Bremen,Bundesmann,Claudia,,W,0421,361-3394,361-59205,429@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Hemelingen,Oberschule,http://www.oberschule-sebaldsbrueck.de
430,Oberschule am Waller Ring,,,,,Bremerhavener Str. 83,28219,Bremen,Riebeling,Renate,,W,0421,361-5630,361-59610,430@bildung.bremen.de,N,,ObSch,VBK I,,,,,,,,,,Findorff / Walle,Oberschule,http://www.sz-waller-ring.de
431,Roland zu Bremen Oberschule,,,,,Flämische Str. 9,28259,Bremen,Sariyildiz,Ayten,,W,0421,361-15971,361-15132,431@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Huchting,Oberschule,http://roland-oberschule.de
436,Wilhelm-Kaisen-Oberschule,,,,,Valckenburghstr. 1-3,28201,Bremen,Seipke,Oliver,,M,0421,361-59330,361-59333,436@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Neustadt,Oberschule,http://www.wilhelm-kaisen-schule.de
438,Albert-Einstein-Oberschule,,,,,Kolk 2,28327,Bremen,Pörtner,Ursula Maria,,W,0421,361-18395,,438@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Osterholz,Oberschule,http://aes-bremen.de
440,Oberschule im Park,,,,,Am Oslebshauser Park 1-3,28239,Bremen,Steinhauer,Monika Maria,,W,0421,361-9265,361-9131,440@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Gröpelingen,Oberschule,http://www.os-im-park.de
441,Oberschule Am Barkhof,,,,,Parkallee 39,28209,Bremen,Roggendorf,Nicola,,W,0421,361-15587,496-15587,441@bildung.bremen.de,N,,ObSch,VBK I,,,,,,,,,,Schwachhausen,Oberschule,http://www.barkhof.schule.bremen.de
442,Oberschule Ohlenhof,,,,,Halmerweg 71,28237,Bremen,Reinders,Silke,,W,0421,361-94246,361-94232,442@bildung.bremen.de,N,,ObSch,VBK I,,,,,,,,,,Gröpelingen,Oberschule,http://www.oberschule-ohlenhof.de
443,Oberschule an der Egge,,,,,Eggestedter Str. 20,28779,Bremen,Kraatz-Röper,Andreas,,M,0421,361-79154,361-79150,443@bildung.bremen.de,N,,ObSch,GO,VBK I,,,,,,,,,Blumenthal,Oberschule,http://www.oberschuleanderegge.de
444,Neue Oberschule Gröpelingen,,,,,Ernst-Waldau-Str. 1 A,28239,Bremen,Jacobsen,Sabine,,W,0421,361-18319,361-18434,444@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Gröpelingen,Oberschule,http://www.nog.schule.bremen.de
445,Oberschule an der Kurt-Schumacher-Allee,,,,,Kurt-Schumacher-Allee 65,28327,Bremen,Sauter-Schmidt,Christian,,M,0421,361-5650,361-59856,445@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,GO,VBK I,,,,,,,,,Vahr,Oberschule,http://www.ksa-bremen.de
451,Humboldtschule,,Oberschule,,,Schillerstr. 87,27570,Bremerhaven,Loell,Ralf-Dieter,,M,0471,391-3770,391-3799,humboldt@schule.bremerhaven.de,N,,ObSch,VBK I,,,,,,,,,,,Oberschule,
452,Wilhelm-Raabe-Schule,,Oberschule,,,Friedrich-Ebert-Str. 10,27570,Bremerhaven,Müller,Stefanie,,W,0471,391-3832,391-3849,w.raabe@schule.bremerhaven.de,N,,ObSch,VBK I,,,,,,,,,,,Oberschule,
456,"Schulzentrum Carl von Ossietzky, Oberschule",,Oberschule,,,Georg-Büchner-Str. 5,27574,Bremerhaven,Mondwurf,Georg,Dr.,M,0471,391-39122,391-39129,CvO.Ober@schule.bremerhaven.de,J,gebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,,Oberschule,http://www.cvo-oberschule.de/
457,Paula-Modersohn-Schule,,Oberschule,Ganztagsschule,,Dreibergen 21,27572,Bremerhaven,Wolff,Joachim,Dr.,M,0471,3001013,3001030,p.modersohn@schule.bremerhaven.de,J,offene Ganztagsschule,ObSch,,,,,,,,,,,,Oberschule,http://paula-modersohn-schule.de/
458,Johann-Gutenberg-Schule,,Oberschule,,,Fuhrenweg 3-19,27578,Bremerhaven,Rademacher,Stephan,,M,0471,391-3800,391-38026,j.gutenberg@schule.bremerhaven.de,N,,ObSch,VBK I,,,,,,,,,,,Oberschule,
501,Gesamtschule Bremen-West,an der Lissaer Straße,,,,Lissaer Str. 7,28237,Bremen,Schmuhl,Matthias,,M,0421,361-14611,49614620,501@bildung.bremen.de,J,gebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Gröpelingen,Oberschule,http://www.gesamtschule-west.de
502,Gesamtschule Bremen-Ost,an der Walliser Straße,Oberschule und Ganztagsschule,,,Walliser Str. 125,28325,Bremen,Utz,Hans-Martin,,M,0421,361-59802,361-59831,502@bildung.bremen.de,J,gebundene Ganztagsschule,ObSch,GO,VBK I,,,,,,,,,Osterholz,Oberschule,http://www.gso-bremen.de
503,Oberschule Lesum,,,,,Steinkamp 6,28717,Bremen,Struß-Bembenek,Waltraud,,W,0421,361-7185,361-7021,503@bildung.bremen.de,N,,ObSch,VBK I,,,,,,,,,,Burglesum,Oberschule,http://www.oberschule-lesum.de
504,Gesamtschule Bremen-Mitte,an der Hemelinger Straße,Oberschule und Ganztagsschule,,,Hemelinger Str. 11,28205,Bremen,Fernholz,Jutta,,W,0421,361-3135,361-18180,504@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Mitte/östl. Vorstadt,Oberschule,http://www.gsm-bremen.de
505,Oberschule an der Hermannsburg,,,,,Hermannsburg 32 F,28259,Bremen,Kaschub,Achim,,M,0421,361-15960,361-15964,505@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Huchting,Oberschule,http://www.osh-bremen.de/
506,Oberschule am Leibnizplatz,,,,,Schulstr. 24,28199,Bremen,Frizi,Hamid,,M,0421,361-5785,361-59193,506@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,GO,VBK I,,,,,,,,,Neustadt,Oberschule,http://www.leibnizplatz.de
509,Oberschule In den Sandwehen,,,,,Neuenkirchener Weg 119,28779,Bremen,Wegner,Stephan,,M,0421,361-79043,361-79025,509@bildung.bremen.de,J,gebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Blumenthal,Oberschule,http://www.sandwehen.de
511,Wilhelm-Focke-Oberschule,,,,,Bergiusstr. 125,28357,Bremen,Warszewik-König,Beata-Alicja,,W,0421,361-16084,361-16395,511@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Horn/Borgf./Oberneuland,Oberschule,http://www.wilhelm-focke-oberschule.de
512,Gerhard-Rohlfs-Oberschule,,,,,Kirchheide 9,28757,Bremen,Borges-Postulka,Kathrin Annette,,W,0421,361-79513,361-79515,512@bildung.bremen.de,J,teilgebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,Vegesack,Oberschule,http://www.512.schule.bremen.de
551,Heinrich-Heine-Schule,,Oberschule,Ganztagsschule,,Hans-Böckler-Str. 30,27578,Bremerhaven,N.N.,,,,0471,391-35013,391-35010,h.heine@schule.bremerhaven.de,J,offene Ganztagsschule,ObSch,,,,,,,,,,,,Oberschule,http://www.heinrich-heine-gesamtschule.de/
552,Schule am Ernst-Reuter-Platz,,Oberschule,Ganztagsschule,,Hafenstr. 122,27576,Bremerhaven,Ehlers,Meike,,W,0471,309493-10,309493-19,Ernst@schule.bremerhaven.de,J,gebundene Ganztagsschule,ObSch,VBK I,,,,,,,,,,,Oberschule,http://dieernst.de/
553,Oberschule Geestemünde,,Oberschule,Ganztagsschule,,Flensburger Str. 10,27570,Bremerhaven,Hüller,Ana Isabel,,M,0471,309-55540,309-55549,OBS.Geestemuende@schule.bremerhaven.de,J,teilgebundene Ganztagsschule,ObSch,,,,,,,,,,,,Oberschule,http://oberschulegeestemuende.bremerhaven.de/
601,Schulzentrum des Sekundarbereichs II,an der Alwin-Lonke-Straße,Berufliche Schulen,"für Bautechnik, Gestaltung und Agrarwirtschaft",,Alwin-Lonke-Str. 71,28719,Bremen,Stutzinger,Wolfgang,,M,0421,361-16560,361-16609,601@bildung.bremen.de,N,,WerkSch,BS,AVBG/VZ,BFS2,BFS3,BGY,FOS,BOS,,,,Burglesum,Berufsbildende Schule,http://szals.schule.bremen.de/
602,Schulzentrum des Sekundarbereichs II,an der Bördestraße,"Abteilungen: Gymnasium, Berufliche Schulen",für Wirtschaft und Verwaltung,,Bördestr. 10,28717,Bremen,Zschüntzsch,Markus,,M,0421,361-7180,361-7182,602@bildung.bremen.de,N,,VBK II,GO,BS,AVBG/TZ,AVBG/VZ,BFS2,BFS3,FOS,,,,Burglesum,Berufsbildende Schule,http://www.sz-boerde.de
603,Schulzentrum des Sekundarbereichs II,Blumenthal,Berufliche Schulen,für Hauswirtschaft und Sozialpädagogik,,Eggestedter Str. 20,28779,Bremen,Haurenherm,Rita,,W,0421,361-79155,361-79150,603@bildung.bremen.de,N,,WerkSch,AVBG/TZ,AVBG/VZ,BFS2,BFS3,FOS,FS,,,,,Blumenthal,Berufsbildende Schule,http://www.sz-blumenthal.de
618,Schulzentrum des Sekundarbereichs II,Walle,"Abteilungen: Gymnasium, Berufliche Schulen",für Gesundheit,,Lange Reihe 81,28219,Bremen,Möller,Matthias,,M,0421,361-8516,361-8527,618@bildung.bremen.de,N,,GO,BS,AVBG/TZ,AVBG/VZ,BFS2,BFS3,BGY,FOS,BOS,,,Findorff / Walle,Berufsbildende Schule,http://www.szwalle.de
698,Helmut Schmidt Schule,,Berufsbildende Schule für Wirtschaft,,,Walliser Str. 125,28325,Bremen,Eisenach,Werner,,M,0421,361-18250,361-16726,698@bildung.bremen.de,N,,WerkSch,BS,AVBG/TZ,AVBG/VZ,BFS3,,,,,,,Osterholz,Berufsbildende Schule,http://www.hss-hb.de
699,Schulzentrum des Sekundarbereichs II,am Rübekamp,"Abteilungen: Gymnasium, Berufliche Schulen",für das Nahrungsgewerbe,,Rübekamp 37-39,28219,Bremen,Horn,Börje,,M,0421,361-14700,361-14703,699@bildung.bremen.de,N,,WerkSch,VBK II,GO,BS,AVBG/VZ,BFS3,BGY,FOS,,,,Findorff / Walle,Berufsbildende Schule,http://www.ruebekamp.de
801,St.-Johannis-Schule,,Schule des Katholischen Gemeinde-,verbandes in Bremen -Grundschule-,,Tiefer 12,28195,Bremen,Florian,Holger,,M,0421,3694-171,3694-214,st.-johannis-schule-gs@kshb.de,J,offene Ganztagsschule,G,,,,,,,,,,,Mitte/östl. Vorstadt,Private Grundschule,http://johannis.kshb.de/
803,St.-Marien-Schule,,Schule des Katholischen Gemeinde-,verbandes in Bremen,,Hauffstr. 2,28217,Bremen,Korte,Elsbeth,,W,0421,3809370,3989019,gs-st.marien@kshb.de,J,teilgebundene Ganztagsschule,G,,,,,,,,,,,Findorff / Walle,Private Grundschule,http://marien.kshb.de/
805,Freie Evangelische Bekenntnisschule,Bremen,,,,Habenhauser Brückenstr. 1,28279,Bremen,Balters,Dirk,,M,0421,83936-100,83936-119,wshabenhausen@febb.de,N,,ObSch,Sek,GY,GO,,,,,,,,Obervieland,Private weiterführende Schule (GS oder IHR mit Gy),
806,Freie Waldorfschule Bremen,,,,,Touler Str. 3,28211,Bremen,Huxoll,Matthias,,M,0421,491430,4914343,kontakt@freie-waldorfschule-bremen.de,N,,GS,GO,G,,,,,,,,,Schwachhausen,Private Waldorfschule,http://www.freie-waldorfschule-bremen.de
807,Privatschule Mentor gGmbH,,,,,Schwarzer Weg 96,28239,Bremen,Conzelmann,Dorothea,,W,0421,6190-121,6190-123,info@privatschule-mentor.de,J,offene Ganztagsschule,GS,GO,,,,,,,,,,Gröpelingen,Private weiterführende Schule (GS oder IHR mit Gy),http://www.privatschule-mentor.de/
809,Tobias-Schule Bremen,,"Förderzentrum Lernen, Heilpädagogische Waldorfschule",,,Rockwinkeler Landstr. 41-43,28355,Bremen,von Glahn,Dieter,,M,0421,259884,250627,kontakt@tobias-schule.de,J,offene Ganztagsschule,FÖZ-LSV,,,,,,,,,,,Horn/Borgf./Oberneuland,Private Sonderschule Lernen-Sprache-Verhalten,
810,St.-Johannis-Schule,,Schule des Katholischen Gemeinde-,verbandes in Bremen,,Dechanatstr. 9,28195,Bremen,Kieslich,Anette,,W,0421,3694-180,3694-186,sjs-bremen@kshb.de,N,,ObSch,GY,GO,VBK I,,,,,,,,Mitte/östl. Vorstadt,Private weiterführende Schule (GS oder IHR mit Gy),http://johannis.kshb.de
811,Ökumenisches Gymnasium zu Bremen,,,,,Oberneulander Landstr. 143 A,28355,Bremen,Dönch,Jan Andrees,,M,0421,223129-0,223129-10,office@oegym.de,J,offene Ganztagsschule,GY,GO,,,,,,,,,,Horn/Borgf./Oberneuland,Privates Durchgängiges Gymnasium,http://www.oegym.de
812,Technikerschule Bremen,,Fachschule für Technik,,,Schongauer Str. 2,28219,Bremen,Gerdes,Jörn,,M,0421,393089,3965608,info@technikerschule-bremen.de,N,,FS,,,,,,,,,,,Findorff / Walle,Private berufsbildende Schule,
813,Berufsbildungswerk Bremen GmbH,,Abt. Berufsschule,,,Universitätsallee 20,28359,Bremen,Möller,Torben,,M,0421,2383-221,2383-237,leitung@bbw-bremen.de,N,,BS,AVBG/TZ,,,,,,,,,,Horn/Borgf./Oberneuland,Private berufsbildende Schule,
815,International School of Bremen,,,,,Badgasteiner Str. 11,28359,Bremen,Davis,Malcolm,,M,0421,515779-0,515779-55,office@isbremen.de,J,gebundene Ganztagsschule,GS,GO,G,,,,,,,,,Horn/Borgf./Oberneuland,Private weiterführende Schule (GS oder IHR mit Gy),http://www.isbremen.de/
816,Freie Waldorfschule,Bremen Osterholz,,,,Graubündener Str. 4,28325,Bremen,Filzen,Sabine,,W,0421,411441,411421,info@waldorfschule-bremen-osterholz.de,J,teilgebundene Ganztagsschule,GS,GO,G,,,,,,,,,Osterholz,Private Waldorfschule,http://www.waldorfschule-bremen-osterholz.de
817,Freie Evangelische Bekenntnisschule,Bremen -Grundschule-,,,,Steinsetzerstr. 6-8,28279,Bremen,Seggermann,Hartwig,,M,0421,83936-300,83936-311,gshabenhausen@febb.de;gsvahr@febb.de,J,offene Ganztagsschule,G,,,,,,,,,,,Obervieland,Private Grundschule,http://www.freie-evangelische-bekenntnisschule.de
818,Freie Waldorfschule,Bremen-Nord,- Grundschule -,,,Fresenbergstr. 26,28779,Bremen,Petermann,Kirsten,,M,0421,4605210,4605211,office@fws-bremen-nord.de,N,,GS,GO,G,,,,,,,,,Blumenthal,Private Waldorfschule,
